destination,original_date,refugees,date,origin,origin_iso2,origin_lat,origin_long,des_iso2,des_lat,des_long
Belarus,2/28/2022,329,2/28/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,2/28/2022,89561,2/28/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,2/28/2022,65099,2/28/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,2/28/2022,51797,2/28/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,2/28/2022,353504,2/28/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,2/28/2022,38461,2/28/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,2/28/2022,37900,2/28/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,2/28/2022,30000,2/28/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/1/2022,341,3/1/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/1/2022,116348,3/1/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/1/2022,79315,3/1/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/1/2022,69600,3/1/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/2/2022,505582,3/1/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/1/2022,44540,3/1/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/1/2022,47800,3/1/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/2/2022,71200,3/1/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/2/2022,374,3/2/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/2/2022,133009,3/2/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/2/2022,97827,3/2/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/2/2022,88147,3/2/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/2/2022,547982,3/2/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/2/2022,51261,3/2/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/2/2022,47800,3/2/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/2/2022,79059,3/2/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/3/2022,384,3/3/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/3/2022,144738,3/3/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/3/2022,103254,3/3/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/3/2022,110876,3/3/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/3/2022,649903,3/3/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/3/2022,57192,3/3/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/3/2022,53300,3/3/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/3/2022,90329,3/3/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/4/2022,406,3/4/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/4/2022,157004,3/4/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/3/2022,103254,3/4/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/4/2022,133876,3/4/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/4/2022,756303,3/4/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/4/2022,63192,3/4/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/3/2022,53300,3/4/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/4/2022,101529,3/4/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/4/2022,406,3/5/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/5/2022,169053,3/5/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/5/2022,84067,3/5/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/5/2022,157056,3/5/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/5/2022,885303,3/5/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/5/2022,71640,3/5/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/3/2022,53300,3/5/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/5/2022,113967,3/5/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/4/2022,406,3/6/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/6/2022,180163,3/6/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/6/2022,82762,3/6/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/6/2022,183688,3/6/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/6/2022,1027603,3/6/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/6/2022,78977,3/6/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/3/2022,53300,3/6/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/6/2022,128169,3/6/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/7/2022,453,3/7/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/7/2022,191348,3/7/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/6/2022,82762,3/7/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/7/2022,210239,3/7/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/8/2022,1204403,3/7/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/6/2022,82062,3/7/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/8/2022,99300,3/7/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/7/2022,140745,3/7/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/8/2022,592,3/8/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/8/2022,203222,3/8/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/6/2022,82762,3/8/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/8/2022,235745,3/8/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/8/2022,1294903,3/8/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/8/2022,85444,3/8/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/8/2022,99300,3/8/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/8/2022,153303,3/8/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/9/2022,765,3/9/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/8/2022,214160,3/9/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/6/2022,82762,3/9/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/9/2022,258844,3/9/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/8/2022,1412503,3/9/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/8/2022,84671,3/9/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/9/2022,97098,3/9/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/9/2022,165199,3/9/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/10/2022,858,3/10/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/10/2022,225046,3/10/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/10/2022,104929,3/10/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/10/2022,282497,3/10/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/11/2022,1524903,3/10/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/8/2022,84671,3/10/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/10/2022,105897,3/10/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/10/2022,176092,3/10/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/11/2022,938,3/11/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/11/2022,235576,3/11/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/10/2022,104929,3/11/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/11/2022,304156,3/11/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/11/2022,1575703,3/11/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/8/2022,84671,3/11/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/10/2022,105897,3/11/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/11/2022,185673,3/11/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/11/2022,938,3/12/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/12/2022,246206,3/12/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/10/2022,104929,3/12/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/11/2022,304156,3/12/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/12/2022,1655503,3/12/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/8/2022,84671,3/12/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/10/2022,105897,3/12/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/12/2022,195980,3/12/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/13/2022,1226,3/13/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/13/2022,255291,3/13/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/13/2022,330217,3/13/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Poland,3/13/2022,1720227,3/13/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/13/2022,412856,3/13/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/13/2022,131365,3/13/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/13/2022,204862,3/13/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/14/2022,1475,3/14/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/15/2022,267570,3/14/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/14/2022,337215,3/14/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Poland,3/15/2022,1830711,3/14/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/15/2022,459485,3/14/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/14/2022,142994,3/14/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/14/2022,213000,3/14/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/15/2022,1816,3/15/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/15/2022,272943,3/15/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/15/2022,344454,3/15/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Poland,3/15/2022,1857045,3/15/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/15/2022,467703,3/15/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/15/2022,155841,3/15/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/15/2022,220977,3/15/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/16/2022,2127,3/16/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/16/2022,282611,3/16/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/16/2022,350886,3/16/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Poland,3/16/2022,1916445,3/16/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/16/2022,491409,3/16/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/16/2022,168858,3/16/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/16/2022,228844,3/16/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/16/2022,2127,3/17/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/17/2022,291230,3/17/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/17/2022,355426,3/17/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Poland,3/18/2022,1975449,3/17/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/17/2022,508692,3/17/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/17/2022,184563,3/17/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/17/2022,234738,3/17/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/17/2022,2548,3/18/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/18/2022,299273,3/18/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/18/2022,359056,3/18/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Poland,3/18/2022,2010693,3/18/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/18/2022,518269,3/18/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/17/2022,184563,3/18/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/18/2022,240009,3/18/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/17/2022,2548,3/19/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/19/2022,305518,3/19/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/19/2022,362514,3/19/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Poland,3/19/2022,2050392,3/19/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/19/2022,527247,3/19/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/17/2022,184563,3/19/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/19/2022,245569,3/19/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/20/2022,3765,3/20/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/20/2022,312120,3/20/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/20/2022,365197,3/20/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Poland,3/20/2022,2083854,3/20/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/20/2022,535461,3/20/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/20/2022,231764,3/20/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/20/2022,250036,3/20/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/21/2022,4308,3/21/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/21/2022,317863,3/21/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/21/2022,367913,3/21/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Poland,3/21/2022,2113554,3/21/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/21/2022,543308,3/21/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/21/2022,252376,3/21/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/21/2022,253592,3/21/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
